revGrowth,EPS,GrossMargin,Class
-414.9,-12.1,1000,1
0,-7820,0,0
312.2,-610,705,1
23.3,880,860.4,0
0,-2690,882.1,0
-395.3,-1670,1000,0
15170.3,-53060,1000,0
0,-320,821.2,0
0,-3860,0,1
135.8,800,152.1,1
1488,-158500,-157.2,0
50716.8,-7460,652.8,1
59.3,-100,295.4,0
0,-2510,0,0
-831.7,-441000,1000,0
314.9,-1250,772.8,0
327.5,-10,509.1,0
192.2,578,495.5,1
0,-960,0,1
0,-780,0,0
-713.1,-670,866.9,0
68.3,-750,1000,1
0,-150000,0,0
-407.9,-1016000,444.4,1
11.7,-460,754.1,1
0,-880,0,1
0,-950,-9752.9,1
0,-3000,0,0
-326.8,-55600,965,0
-1000,-1080,0,1
130.7,740,411.8,0
0,-1440,0,0
1150.3,-8000,1000,0
-334.3,-290,1000,0
0,-13840,0,0
-467.8,-7130,1000,0
0,-20750,0,1
0,-38250,0,0
-925.5,-1040,1000,0
1887.2,-1070,507.8,0
4875.8,-858601,1000,0
0,-2020,0,0
-279.3,-4300,1000,0
745.1,-1360,565.2,0
2484.6,-230,729.6,0
2856.1,-790,902.7,1
0.9,-52474,220.8,0
0,-10270,0,1
0,-54080,0,1
0,-19320,1000,0
0,-270,0,0
829.8,0,1000,0
0,-560,0,1
-179.6,1331.7,1000,1
0,-1410,0,1
198.5,-4460,1000,0
2466.5,-269850,1000,0
-53.8,-2220,591.1,0
67.5,150,712.2,1
-176.4,-1400,1000,0
348.3,-1370,134.3,1
0,-660,0,1
0,-18300,0,0
-930.1,-305340,1000,0
0,-2670,0,0
0,-2790,0,1
-441.8,-4200,971,0
24.1,-17800,213.1,0
-796.4,-600,1000,0
0,-610,0,1
0,-5480,0,0
1754.2,-1790,570.8,1
-396.9,-1029.1,1000,0
406.4,2610,801.8,0
1374.9,-1319.6,1000,0
19.4,3040,605.2,1
0,-515600,0,0
0,-320,0,1
0,-1.02E+11,0,0
-141.8,-6440,1000,0
-115.5,24300,614.4,0
-421.7,-310187810,278.2,0
583500,1200,850.3,0
-1000,-1850,0,1
104.9,3240,1000,1
0,-360,1000,0
-936.5,-109800,1000,0
-155.5,-2250,381.3,0
-1000,-380,0,1
44.3,-492000,534.1,0
276.4,-1280,515,0
-106.6,-1040,320.5,1
121.3,-120,348.2,0
1184.5,-3200,245.5,1
387.7,-1330,457.7,0
-135.1,-53273300,419.2,1
-92.6,-159500,1000,0
-431.1,-51000,1000,0
4000,-12684013,1000,0
152.2,140,863.1,0
0,-666000,-53176.5,1
0,-415660,0,0
0,-1600,0,1
-302.8,-243.7,129.3,0
80.7,-54720,944.9,1
-652.1,-840,1000,1
0,-1790,0,0
0,-19800,0,0
194.5,-560,670.4,0
0,-140,0,0
0,-2954,212.3,1
237.4,-5280,734.5,0
66.4,14200,486.8,1
-56.6,-700,201.1,0
0,-16800,0,1
0,-7560,0,0
-26.7,720,1000,1
0,-14160,0,0
599.6,-10680,1000,0
126.2,1300,299.2,1
-21,-24.2,418.2,1
613.3,-3020,292.7,0
1171.2,-1410,-47.1,0
380.3,230,782.5,1
0,-23400,0,0
0,-32400,0,0
-89.4,-1600,606.8,1
0,-6570,0,1
-608.1,-15480,1000,0
0,-9195009,0,0
0,-11200,0,1
-829.3,-10000,1000,0
0,-2770000,0,1
149.7,760,470.8,0
37.1,4110,1000,0
68.3,-21120,631.1,0
0,-3160,1000,1
-17.5,-530,512.1,0
4.2,-44815,1000,0
0,-493.4,0,1
-998.2,-28060,1000,0
0,-200,0,0
0,-81080,0,0
-123.2,-190,342.4,0
-363.9,-77000,1000,0
-244.7,-1590,709.2,0
114,-130,323.9,0
0,-680,0,0
-308.3,-310,490.3,1
-208.9,-30,326,1
0,-10000,0,0
0,-35.6,0,0
0,-10294.9,0,0
8511.9,-5300,1000,0
1692.3,-7320,359.1,0
-563.9,600,1000,0
55.4,446.1,547.6,0
-64.4,-120,391.2,1
-820,-66210,1000,0
223,-16800,126,0
0,-175300,0,0
654.5,-12100,1000,0
-666.7,-3300,1000,0
12333.3,-16000,1000,0
322.7,750,123.3,0
-70.9,-110,365.1,0
25.4,-160,686.6,0
0,-32160,0,0
-174.6,-580,330.9,0
0,-2200,0,0
0,-138000,0,0
-408.2,-32050,801,0
-314.9,-993.4,661.4,1
264.6,-60,585.6,1
-989.9,-10800,139.8,0
-192.4,-29.2,1000,1
-67.6,-160,-46.6,0
6.3,-370,211.7,1
-744.6,-4482.1,1000,0
-39.2,-20,271.7,1
-625.2,-4410,350.1,0
-201.7,-1182,1000,0
127.9,240,192.7,0
32.1,-80,648.6,1
150.6,190,652.2,0
4.8,-15264.8,1000,0
7.5,-1560,575.2,0
-37.9,-17080,541.9,1
4549.9,-4800,747.2,0
-696.9,-7650,538.9,0
0,-5400,0,0
711.8,-8125000,769.4,0
0,-620,0,1
-117.3,-140,274.3,0
86.9,600,518.3,0
-118.3,-470,642.5,1
-1000,-52100,0,1
707.1,-15150,-4393.4,0
-224.5,-60,598.3,0
-1000,-2700,0,1
408.2,-8000,707.6,0
-576.1,-7260,901.4,0
0,-900,0,0
0,-1100,0,0
63.7,1620,1000,1
100.6,90,615.3,1
-30.8,-19530,434.5,0
-19.3,310,84.5,0
98.2,1520,447.7,1
526.5,1710.5,745.4,0
3.2,1750,88.6,1
57.3,2140,345.9,1
-71.1,1460,498.2,0
36.7,1390,398.7,0
83.7,4310,458.8,1
310.8,3120,141.3,1
26.9,-310,412.9,1
27.7,1570,343.9,1
131.9,1670,661,0
64.6,40,810.8,1
144.9,10260,173,0
564.5,-380,623.5,0
-33.4,1810,379.9,0
-33.3,7250,389.7,0
1.9,410,547.8,0
106.3,1370,583,1
59.1,3520,468.9,0
9,580,596.8,1
54.3,3780,341.5,1
-56,1108,303.5,0
282.1,1570,218.9,1
40.7,1730,480.1,1
58.2,1140,360.4,1
7.2,220,594.6,1
-86.7,-5130,294.5,1
-39.6,126.8,464.4,0
7.8,1220,346.8,1
8.8,3930,401.2,0
588.5,-2360,275.7,1
-53,2810,686,0
331.4,1260,393.5,1
-25,563,128.7,1
161.1,1930,528,0
322.6,490,490.3,1
467.3,830,437.2,1
112.1,1210,432.6,1
64.6,2750,312.9,0
-53.1,270,185.6,0
59.7,1500,285.1,1
-12.9,4080,364.9,0
61.6,2180,206,1
40.5,2420,485.5,0
12,1695,194.5,1
130.6,-660,234.1,0
462.7,1910,212.1,0
272.8,482.7,395.3,0
17.2,3020,294.4,0
30,3120,411.1,1
62.4,1420,580.6,0
216.2,1640,377.3,1
-175.4,330,303,1
31.8,2780,389.7,0
-12.4,4410,143.4,0
-48.9,430,337,1
5.7,1300,311.8,0
-22.5,1970,142.8,0
-106.6,1560,231.4,0
36.2,1540,495.6,0
-40.3,2410,273.8,1
227.6,1900,340.5,0
-71.8,9130,233.3,1
63.6,660,99,1
29.8,4500,195.4,1
-4.2,3480,167.2,1
287.7,910,450.8,1
25.1,1270,271,0
52.2,2890,327.9,1
54,4850,396.9,0
79.2,2600,142.5,0
15.8,1213,351.3,0
-87.3,710,625.6,0
25.6,2550,129.3,0
80.9,310,554.3,1
90.1,3030,344.2,1
104.4,1920,376.3,0
5.7,710,317.6,0
336.5,580,203.7,0
-123.8,605.3,340.4,1
75.9,730,166.4,0
173.8,990,391.8,0
14.3,3450,342.8,1
